"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.855978167E0,8.309370575E0,-4.014950867E0,1.364562378E0,9.328853107E0
1.865999167E0,7.013215942E0,-4.735103302E0,2.199975128E0,8.743357004E0
1.876019167E0,6.356381836E0,-5.285059662E0,2.396965485E0,8.607025573E0
1.886040167E0,6.326294403E0,-5.581742706E0,2.287692719E0,8.741360906E0
1.896061167E0,5.935157776E0,-5.669909363E0,2.201172638E0,8.498183982E0
1.906081167E0,6.055357819E0,-5.653742981E0,1.985920258E0,8.519157662E0
1.916102167E0,6.207740936E0,-5.491779785E0,1.941911774E0,8.512738342E0
1.926123167E0,5.657934265E0,-5.154980164E0,2.292632446E0,7.990131674E0
1.936143167E0,5.496869202E0,-4.743934937E0,2.768642578E0,7.770834667E0
1.946164167E0,5.162165222E0,-4.339476013E0,3.465892639E0,7.582309255E0
1.956185167E0,4.416266327E0,-4.400998077E0,3.545676727E0,7.172448383E0
1.966205167E0,3.094514923E0,-4.886139221E0,3.554358673E0,6.788508281E0
1.976226167E0,2.354603577E0,-5.330265656E0,2.716850281E0,6.429398526E0
1.986247167E0,1.562450867E0,-5.083578644E0,2.644101562E0,5.939301105E0
1.996267167E0,-3.144960022E-1,-4.519401855E0,3.964206390E0,6.019869863E0
2.006288167E0,8.110134888E-1,-4.905598755E0,4.590653687E0,6.767329111E0
2.016309167E0,1.788031769E0,-4.676275635E0,5.387596436E0,7.354645251E0
2.026329167E0,1.785936127E0,-3.697610779E0,4.117637329E0,5.815224028E0
2.036350167E0,2.899470520E0,-4.971461792E0,8.343649292E-1,5.815369849E0
2.046371167E0,3.824846191E0,-6.681356049E0,1.249900818E-1,7.699713602E0
2.056391167E0,1.484313354E0,-5.661227417E0,1.817670135E0,6.128344534E0
2.066412167E0,2.021695862E0,-4.648433533E0,1.003513184E0,5.167419779E0
2.076433167E0,2.806214447E0,-3.785478058E0,8.021818542E-1,4.779976922E0
2.086453167E0,2.156864777E0,-2.819237366E0,2.669099579E0,4.441200012E0
2.096474167E0,3.150947571E0,-2.839595032E0,3.788621521E0,5.687303717E0
2.106495167E0,3.741170197E0,-2.917582855E0,4.884642334E0,6.809432788E0
2.116515167E0,3.395688629E0,-2.397115173E0,5.692662048E0,7.048635585E0
2.126536167E0,3.155138855E0,-2.013612671E0,5.762416992E0,6.871316233E0
2.136557167E0,3.318898315E0,-1.885628815E0,6.308481445E0,7.373440188E0
2.146577167E0,3.218457184E0,-1.136586456E0,7.598349152E0,8.329778223E0
2.156598167E0,2.794089661E0,-4.104464722E-1,8.492888947E0,8.950115418E0
2.166619167E0,2.646197205E0,-1.569785614E0,9.780062256E0,1.025261938E1
2.176639167E0,1.992955627E0,-3.407663727E0,1.144430145E1,1.210603486E1
2.186660167E0,1.220112762E0,-4.338877258E0,1.276545410E1,1.353777491E1
2.196681167E0,8.538244629E-1,-3.845203857E0,1.381162857E1,1.436230109E1
2.206701167E0,1.345102844E0,-2.848127289E0,1.423285263E1,1.457721595E1
2.216722167E0,2.248174896E0,-2.498155060E0,1.417537216E1,1.456833021E1
2.226743167E0,1.793570251E0,-3.349734192E0,1.376447662E1,1.427930076E1
2.236763167E0,3.610491943E-1,-4.634362793E0,1.288565414E1,1.369845823E1
2.246784167E0,-7.866142273E-1,-5.480104065E0,1.253089188E1,1.369939976E1
2.256805167E0,-1.580862579E0,-5.449567566E0,1.293565018E1,1.412543658E1
2.266825167E0,-1.502276001E0,-5.086273041E0,1.315045349E1,1.417961331E1
2.276846167E0,-1.101259918E0,-4.743635559E0,1.267339554E1,1.357681134E1
2.286867167E0,-2.013912048E0,-4.480333099E0,1.172257278E1,1.271015103E1
2.296887167E0,-3.074756012E0,-4.606820068E0,1.069436096E1,1.204351577E1
2.306908167E0,-3.066373444E0,-5.045707397E0,1.185100571E1,1.324039824E1
2.316929167E0,-3.310366058E0,-5.197042694E0,1.280362473E1,1.420917247E1
2.326949167E0,-2.670746155E0,-4.167932739E0,1.266785706E1,1.360070405E1
2.336970167E0,-8.376580811E-1,-2.762505341E0,1.284628601E1,1.316663097E1
2.346991167E0,-1.008901978E0,-1.934876404E0,1.143711639E1,1.164342137E1
2.357011167E0,-2.547851715E0,-2.594704285E0,9.230405273E0,9.920908235E0
2.367032167E0,-3.910617828E0,-4.508025513E0,7.758665771E0,9.788366584E0
2.377053167E0,-4.415218506E0,-6.237079926E0,7.488327942E0,1.069908294E1
2.387073167E0,-4.180207214E0,-6.559359741E0,8.158035278E0,1.127177325E1
2.397094167E0,-3.435655518E0,-5.287754059E0,7.945028229E0,1.014334981E1
2.407115167E0,-3.643573151E0,-4.002526703E0,7.368277588E0,9.142612314E0
2.417135167E0,-3.518283691E0,-3.608096924E0,6.273304596E0,8.046802725E0
