"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.685126958E0,-3.543281708E0,-6.280489655E0,-5.042264557E0,8.799081056E0
1.695145958E0,-3.352129211E0,-6.719077606E0,-3.827540588E0,8.428098308E0
1.705164958E0,-2.584226074E0,-7.319928131E0,-2.225571899E0,8.075440702E0
1.715183958E0,-1.670376434E0,-7.735014954E0,1.676513672E-2,7.913336517E0
1.725202958E0,-1.256337433E0,-7.410040741E0,1.983674927E0,7.773162403E0
1.735221958E0,-6.641688538E-1,-7.137008514E0,2.379900970E0,7.552611431E0
1.745240958E0,6.408174133E-1,-6.724017334E0,1.815275116E0,6.994160408E0
1.755259958E0,1.960323486E0,-6.346801758E0,1.129102020E0,6.737924910E0
1.765278958E0,3.417243805E0,-6.378086700E0,1.469494171E0,7.383560002E0
1.775297958E0,5.822891235E0,-7.095694427E0,2.372416534E0,9.480680459E0
1.785316958E0,9.149423676E0,-8.226293335E0,3.308270416E0,1.274082057E1
1.795336958E0,1.394664780E1,-1.029933243E1,2.844983826E0,1.756926766E1
1.805355958E0,1.988150620E1,-1.636277344E1,1.192420349E0,2.577666599E1
1.815374958E0,2.788147018E1,-2.292722260E1,-3.074606323E-1,3.609887045E1
1.825393958E0,3.515245010E1,-3.065729782E1,-2.067201233E0,4.668873503E1
1.835412958E0,4.257745972E1,-3.521037964E1,-2.087259521E0,5.528985045E1
1.845431958E0,5.150190125E1,-3.646581894E1,-8.545729065E-1,6.311047518E1
1.855450958E0,5.915054581E1,-3.763982758E1,5.303471375E-1,7.011294429E1
1.865469958E0,6.006035385E1,-3.551245148E1,2.636916504E0,6.982358945E1
1.875488958E0,5.422069748E1,-3.365047348E1,4.368515625E0,6.396344526E1
1.885507958E0,4.804977997E1,-3.545003128E1,5.441933441E0,5.995915870E1
1.895526958E0,4.292593506E1,-3.548835159E1,6.126310272E0,5.603205044E1
1.905545958E0,3.918805801E1,-3.263079391E1,4.913831635E0,5.123102911E1
1.915564958E0,3.483960068E1,-2.833757172E1,2.950364685E-1,4.490994091E1
1.925584958E0,1.943588287E1,-2.388118881E1,-3.458063919E1,4.630210934E1
1.935603958E0,1.454076233E1,-1.508068954E1,-2.422532318E1,3.202697690E1
1.945622958E0,1.702903793E1,-1.117650833E1,-2.406994629E-1,2.037057701E1
1.955641958E0,6.336622925E0,-9.870773621E0,-7.566166077E0,1.395821733E1
1.965660958E0,-3.269800415E0,-7.602241058E0,-9.023385773E0,1.224365773E1
1.975679958E0,-7.024143219E0,-4.766987000E0,-4.869823151E0,9.786619975E0
1.985698958E0,-6.697073364E0,-7.723937988E-1,3.309617615E0,7.510056763E0
1.995717958E0,-7.767796783E0,2.900668030E0,8.666078796E0,1.199389276E1
2.005736958E0,-1.082578766E1,4.237537994E0,9.017697601E0,1.471303085E1
2.015755958E0,-1.172811127E1,5.162015533E0,7.203021240E0,1.469960929E1
2.025774958E0,-1.229962280E1,7.142546997E0,3.653901672E0,1.468494794E1
2.035793958E0,-1.185370010E1,8.768914948E0,-9.493258667E-1,1.477515804E1
2.045812958E0,-7.264393616E0,9.300908661E0,-2.897075500E0,1.215201066E1
2.055832958E0,-3.146756287E0,8.961863708E0,-3.964356079E0,1.029238531E1
2.065851958E0,-2.082170105E-1,7.213649139E0,-4.935237122E0,8.742805824E0
2.075870958E0,2.190544739E0,3.578308868E0,-3.648662567E0,5.560172582E0
2.085889958E0,3.671864319E0,4.185296631E-1,-9.919871521E-1,3.826459612E0
2.095908958E0,4.739743652E0,2.507286072E-1,7.581733704E-1,4.806543621E0
2.105927958E0,4.709656219E0,3.287164307E-1,-2.249821472E-1,4.726471534E0
2.115946958E0,3.360811157E0,3.050656128E-1,-1.516346741E0,3.699651889E0
2.125965958E0,4.331093445E0,1.331181793E0,-1.619781647E0,4.811871567E0
2.135984958E0,6.871311035E0,3.264860687E0,-2.084565125E0,7.887942850E0
2.146003958E0,6.902595978E0,3.288062439E0,-1.658850403E0,7.823616203E0
2.156022958E0,5.486241302E0,2.600242767E0,-3.131488037E-1,6.079323009E0
2.166041958E0,2.879262543E0,-3.412902832E-2,3.505260773E0,4.536316861E0
2.176061958E0,-6.780899048E-1,-2.733914795E0,7.705376587E0,8.204079739E0
2.186080958E0,-1.907333679E0,-3.385659485E0,9.293124847E0,1.007287354E1
2.196099958E0,-2.056124268E0,-3.068618774E0,8.456813965E0,9.228313531E0
2.206118958E0,-2.700234833E0,-2.343676300E0,5.680237885E0,6.711869276E0
2.216137958E0,-3.109034729E0,-1.666185150E0,1.995500336E0,4.052689415E0
2.226156958E0,-3.350332947E0,-1.515598297E0,-1.138981476E0,3.849551643E0
2.236175958E0,-4.259093170E0,-6.682104492E-1,-2.799628143E0,5.140456942E0
2.246194958E0,-4.612657928E0,-1.152902527E0,-1.759141846E0,5.069553968E0
2.256213958E0,-4.751419373E0,-2.927162933E0,-2.642305298E0,6.174629234E0
2.266232958E0,-5.035079498E0,-3.030298462E0,-3.733386383E0,6.962248790E0
2.276251958E0,-4.315076752E0,-2.587968292E0,-3.503913574E0,6.131466186E0
2.286270958E0,-7.866142273E-1,-3.932173004E0,-5.095703430E0,6.484361181E0
2.296289958E0,5.478607178E-1,-3.777245178E0,-5.663921814E0,6.829915286E0
2.306309958E0,-3.442840576E-3,-2.354902954E0,-4.305796051E0,4.907693899E0
2.316328958E0,-4.129911804E-1,-2.812651062E0,-5.160668335E0,5.891864338E0
2.326347542E0,1.125659180E0,-3.404220886E0,-6.508764954E0,7.431005965E0
2.336366542E0,2.318827972E0,-3.272195435E0,-6.807693329E0,7.901197035E0
2.346385542E0,4.043990479E0,-3.370241547E0,-6.254144440E0,8.174760531E0
2.356404542E0,7.299720154E0,-4.554878082E0,-4.220323792E0,9.583525529E0
2.366423542E0,1.042147842E1,-8.004005585E0,-1.881736908E0,1.327449629E1
2.376442542E0,1.025487488E1,-1.057565781E1,-4.206702118E0,1.532003066E1
2.386461542E0,6.795718231E0,-1.037522461E1,-4.300407257E0,1.312709315E1
2.396480542E0,8.896749115E0,-1.555774750E1,-3.218008118E0,1.820854822E1
2.406499542E0,1.363230148E1,-2.301479050E1,-6.010900269E0,2.741625699E1
2.416518542E0,1.974020004E1,-2.747281998E1,-1.022029678E1,3.533957840E1
2.426538542E0,2.327569794E1,-2.369557480E1,-1.550056641E1,3.665386662E1
2.436557542E0,1.882784729E1,-1.734862335E1,-1.583167786E1,3.010157121E1
2.446576542E0,1.606519226E1,-1.704385712E1,-2.188583817E1,3.205578544E1
2.456595542E0,1.876602585E1,-2.032248917E1,-2.718032822E1,3.878063349E1
2.466614542E0,-2.277962952E0,-2.333617218E1,1.264720001E0,2.348117467E1
2.476633542E0,2.150338348E1,-4.956133667E1,1.333591782E1,5.564681750E1
2.486652542E0,9.796977081E0,-5.875731354E1,1.005968079E1,6.041191796E1
2.496671542E0,2.339634705E0,-4.986026505E1,5.491031342E0,5.021624584E1
2.506690542E0,-4.993615723E-1,-4.198454269E1,5.575006714E0,4.235601359E1
2.516709542E0,-2.286046143E0,-3.064517303E1,6.124514008E0,3.133468221E1
2.526728542E0,-5.586832123E0,-1.990425888E1,4.371210022E0,2.113053932E1
2.536747542E0,-7.855514374E0,-1.163455582E1,-2.792143707E0,1.431321283E1
2.546766542E0,-7.760312347E0,-5.916746063E0,-1.071411987E1,1.449215982E1
2.556785542E0,-5.844446411E0,-2.161056061E0,-1.026385620E1,1.200726702E1
2.566805542E0,-4.039200439E0,-5.149291992E-1,-7.662266235E0,8.677016546E0
2.576824542E0,-3.300935669E0,1.005309448E0,-7.868387604E0,8.591760405E0
2.586843542E0,-2.362237701E0,2.023043060E0,-4.808750153E0,5.726861986E0
2.596862542E0,-1.268462219E0,2.100282440E0,-1.669927368E0,2.967969027E0
2.606881542E0,-8.129594421E-1,2.075434113E0,1.222956848E-1,2.232327495E0
2.616900542E0,-5.342390442E-1,2.097588043E0,4.760101318E-2,2.165075706E0
2.626919542E0,8.891510010E-2,2.043400726E0,-1.692230988E0,2.654625800E0
2.636938542E0,8.530760193E-1,2.095492401E0,-4.907245331E0,5.403691686E0
2.646957542E0,7.878117371E-1,1.611399078E0,-3.848347321E0,4.245825176E0
2.656976542E0,3.517684937E-1,9.928852844E-1,-1.230890350E0,1.620078182E0
2.666995542E0,2.841091919E-1,6.730004883E-1,3.083587646E-2,7.311624590E-1
2.677014542E0,6.170169067E-1,6.331832886E-1,5.731581116E-1,1.053632365E0
2.687034542E0,8.041278076E-1,8.131091309E-1,7.337741089E-1,1.358746640E0
2.697053542E0,5.426216125E-1,8.993298340E-1,9.135502625E-1,1.392051165E0
2.707072542E0,4.966671753E-1,1.027164001E0,1.233884125E0,1.680539854E0
2.717091542E0,3.930825806E-1,9.464817810E-1,1.477427673E0,1.798091824E0
2.727110542E0,-2.993774414E-4,1.711391144E0,7.891589355E-1,1.884577290E0
2.737129542E0,1.329235840E-1,2.010319519E0,1.080902252E0,2.286351444E0
2.747148542E0,7.484436035E-1,4.164340210E0,7.120692444E-1,4.290564045E0
